Article,Page count,,,,,Article IDs from already invoiced,Invoiced month
,,#N/A,,,,bcr-2017-220784,Invoiced in Jun 2017
,,#N/A,,,,thoraxjnl-2017-210035,Invoiced in Sep 2017
,,#N/A,,,,bjophthalmol-2017-310716,Invoiced in Oct 2017
,,#N/A,,,,bmjopen-2016-014585,Invoiced in Oct 2017
,,#N/A,,,,bmjopen-2017-017814,Invoiced in Oct 2017
,,#N/A,,,,heartjnl-2017-312090,Invoiced in Oct 2017
,,#N/A,,,,jnnp-2017-317178,Invoiced in Oct 2017
,,#N/A,,,,jramc-2016-000756,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000774,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000776,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000789,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000792,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000795,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000808,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000814,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000817,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000818,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000819,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000833,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000839,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000843,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000844,Invoiced in Oct 2017
,,#N/A,,,,jramc-2017-000865,Invoiced in Oct 2017
,,#N/A,,,,leader-2017-000022,Invoiced in Oct 2017
,,#N/A,,,,leader-2017-000051,Invoiced in Oct 2017
,,#N/A,,,,lupus-2017-000220,Invoiced in Oct 2017
,,#N/A,,,,lupus-2017-000221,Invoiced in Oct 2017
,,#N/A,,,,medethics-2016-103461,Invoiced in Oct 2017
,,#N/A,,,,medethics-2016-103827,Invoiced in Oct 2017
,,#N/A,,,,medethics-2016-103994,Invoiced in Oct 2017
,,#N/A,,,,medethics-2016-104014,Invoiced in Oct 2017
,,#N/A,,,,medethics-2016-104042,Invoiced in Oct 2017
,,#N/A,,,,medethics-2017-104250,Invoiced in Oct 2017
,,#N/A,,,,medethics-2017-104319,Invoiced in Oct 2017
,,#N/A,,,,medethics-2017-104336,Invoiced in Oct 2017
,,#N/A,,,,medethics-2017-104344,Invoiced in Oct 2017
,,#N/A,,,,medethics-2017-104359,Invoiced in Oct 2017
,,#N/A,,,,medethics-2017-104365,Invoiced in Oct 2017
,,#N/A,,,,medethics-2017-104377,Invoiced in Oct 2017
,,#N/A,,,,medethics-2017-104400,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013239,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013260,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013287,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013307,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013311,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013316,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013358,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013363,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013365,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013384,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013387,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013427,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013429,Invoiced in Oct 2017
